,start_frame,end_frame,start_time,end_time,text,text_EN
22,4362.0,4488.0,174.48,179.52,ô tô để chi duyển tiếp theo lịch trình mà đồng thời tổng công ty cũng đã chỉ đạo các đơn vị chăm đủ về lướng thực ,"car for further transportation according to schedule, and at the same time the corporation also directed the units to take full of their "
23,4488.0,4526.0,179.52,181.04,đơn vị chăm sóc đầy đủ về lướng thực thực phẩm dự chúng tôi ,to take full care of their expected food I 
24,4526.0,4682.0,181.04,187.28,sóc đầy thực thực phẩm dự kiến của chúng tôi là trong đêm nay thì sẽ thông Tiến ch từ tàu này Hôm qua hai tuyến là Hà Nội đi Sài Gòn và Nội ngày ,care expected food supply. I mean tonight we will be able to connect from this train. Yesterday the two routes were Hanoi to Saigon Hanoi. 
25,4682.0,5183.0,187.28,207.32,"là Sài Gòn và Sài Gòn đi Hà Nội ngày 30 tháng 10 chính quyền tệ Bến Tre đã công bố tình huống khẩn cấp sạc lỡ xâm thực bờ biển ở huyện Ba Tri khẩn trương triển khai các biện pháp ứng phó khu vực bị sạc lỡ xâm thực nghiêm trọng thuộc địa bàn xã Bảo Thuận chiều dài khoảng 4,7 km làm ảnh hưởng trực tiếp đến 115 hộ dân làm hư hại 15 căn nhà Sạc lỡ cũng làm hư ","were Saigon and Saigon to Hanoi. On October 30, the Ben Tre government announced an emergency situation due to coastal erosion. The sea in Ba Tri district urgently deployed measures to respond to the severely eroded area in Bao Thuan commune, about 4.7 km long, directly affecting 115 households and damaging 15 houses. The accident also completely "
26,5183.0,5308.0,207.32,212.32,căn nhà Sạc cũng làm hư hỏng hoàn toàn 100 m đường bê tông 650 m Bờ bao diện tích bị ảnh hưởng ,"houses. The also completely damaged 100 m of concrete road and 650 m of embankment, the affected land about "
27,5308.0,5433.0,212.32,217.32,bao diện tích đất ảnh hưởng khoảng 535 ha rên đất rừng phòng hộ ven biển mất 16 ha các cơ quan chức năng đang ,"the affected land area was 535 hectares, the coastal protection forest land lost 16 hectares. The authorities "
28,5433.0,5558.0,217.32,222.32,các cơ quan chức năng đang triển khai các biện pháp khẩn cấp để ứng phó và khắc phục hậu quả sơ tán khẩn cấp người ,16 hectares. The authorities are implementing emergency measures. To respond and overcome the consequences of emergency evacuation of people 
29,5558.0,5749.0,222.32,229.96,hậu quả khẩn cấp người và tài sản ra khỏi khu vực sạc lỡ nguy ,"consequences of of people and property out of dangerous areas, "
30,5749.0,6430.0,229.96,257.2,hiểm thưa quý vị hàng năm khi nước lũ tràn về người dân đồng bằng sông Cửu Long lại nhộn nhịp thu hoạch sản vật mùa nước nổi đây cũng là thời điểm các địa phương trong huyện Phụng Hiệp Tỉnh Hậu Giang tổ chức hội thi đẩy côn bắt cá mùa nước nổi qua đó duy trì và bảo tồn ngành nghề đánh bắt cũng như tuyên truyền nâng cao ý thức cho người dân trong việc khai thác nguồn Lệ Thủy sản đúng quy định gần 20 năm làm nghề đẩy năm ,"ladies and gentlemen, every year when floodwaters flood, people in the Mekong Delta are busy harvesting seasonal products. This is also the time when localities in Phung Hiep district, Hau Giang province organize a fish-pushing contest in the flood season, thereby maintaining and preserving the fishing industry as well as propagandizing and raising awareness for people in the flood season. Exploiting the Le Fishery source in accordance with regulations. After nearly 20 years of working as a stick this "
31,6430.0,6520.0,257.2,260.8,nghề đẩy côn bắt cá năm nay ông Huỳnh Chí Khải được đại diện tham ,"with as a stick pusher to catch fish, this year Mr. Huynh Chi Khai was chosen representative to participate "
32,6520.0,6544.0,260.8,261.76,Khải được chọn làm đại diện tham gia Tranh ,Khai was chosen as a representative to participate in 
33,6544.0,6844.0,261.76,273.76,chọn làm tham gia Tranh Tài tới cái mùa nước nổi á là ai cũng vẫn ra ruộng kiếm cá hết á Thấy nó hấp dẫn lắm côn là dụng cụ được làm bằng những cọng sắc nhỏ MN và hai đoạn tre dài trước mũi ghe người đẩy côn ,chosen as a participate in the Competition until the flood season. Everyone still goes to the fields to look for fish. I find it very attractive. The cone is a tool made of small sharp stems and two long pieces of bamboo in front of the boat. When person pushes the 
34,6844.0,6899.0,273.76,275.96,trước mũi ghe khi đẩy côn cho ghe lau về Thanh côn sắt ,"front of the boat. When the pushes the cone, the boat moves iron cone "
35,6899.0,7125.0,275.96,285.0,ghe lau về phía trước Thanh côn sắt chạm cá cá chuối tạo thành một vùng bông bóng nước lúc đó chỉ việc lội xuống dùng nơm bắt cá hôn kéo côn rồi đó nó cũng ,"the boat moves forward. The iron cone touches the banana fish, creating a bubble area when That's just wading down, using a trap to catch fish, pulling the cone, and then it "
36,7125.0,7154.0,285.0,286.16,hôn kéo côn đó nó cũng có ý với kết ,"pulling the cone, then it also means and working "
37,7154.0,7222.0,286.16,288.88,côn cũng có ý nghĩa chỗ ấp cùng với kết hợp với ban xã và khai cái ,"cone, also means that the hatchery and working with the commune and implement "
38,7222.0,7261.0,288.88,290.44,cùng ban xã và Mỹ để khai cái mô hình này ,"hatchery commune and the US implement this model, "
39,7261.0,7362.0,290.44,294.48,Mỹ để triển mô hình này kéo côn này nó mới gọi là cá lớn thì cái ngồn cá nhỏ được bảo đảm ,"the US to this model, pull the cone, it's called the big fish, then the fish source. If it is guaranteed "
40,7362.0,7532.0,294.48,301.28,cái ngồn cá nhỏ thì nó được bảo đảm năm nay thì hyện muốn là nâng lên cái quy mô cấp hyện đó là tất cả 15 xã thị trấn trên địa tham gia ,"fish source. If it is small, it is guaranteed that this year, we want to raise it to a district-level scale, that is, all 15 communes and towns in participate in "
41,7532.0,7612.0,301.28,304.48,trấn trên địa bàn đều có tham gia là quảng bá về hình ảnh người phụ Hiệp ,towns in the area will participate in promoting the image of the people of Hiep 
42,7612.0,7682.0,304.48,307.28,về hình ảnh đất và người phụ Hiệp thời gian tới huyện Phụng Hiệp sẽ phát triển ,of the land and people of Hiep in the coming time to Phung district. Hiep will develop 
43,7682.0,7783.0,307.28,311.32,tới huyện Phụng Hiệp sẽ phát triển mô hình thành một hình thức du lịch trải nghiệm cho du khách tham quan ,time to Phung district. Hiep will develop the model into a form of experiential tourism for tourists 
44,7783.0,7969.0,311.32,318.76,nghiệm cho du tham quan khám phá hình thức đánh bắt truyền thống mùa đức [âm ,tourism for to explore traditional fishing in this floating season. 
45,7969.0,8282.0,318.76,331.28,nổi nhạc] này những tập tiếp theo của bộ phim Dâu Bể mùa xưa đã đi vào giai đoạn cao trào ở tập 11 chuyện tình tây ba giữa hai anh em Hiếu và nghĩa có bước mới bông Hiếu dầ mở ,The next episodes of the movie Dau Be in the past season have entered the stage. The climax in episode 11 of the western love story between the two brothers Hieu and Nghia takes a new step Hieu gradually opens up 
46,8282.0,8325.0,331.28,333.0,bước mới bông và Hiếu dầ mở lòng cho nhau triển tình ,two a new step and Hieu gradually opens up to each other and gives each develop their 
47,8325.0,8387.0,333.0,335.48,và lòng cho nhau cơ hội phát triển tình cảm riêng nghĩa vẫn Tưng tư ,"and each other and gives each other the opportunity to develop their personal feelings, still "
48,8387.0,8453.0,335.48,338.12,phát nghĩa vẫn ôm mối Tưng tư trong lòng khiến bậc ông Bá đau ,"to feelings, still holding their heartbroken, "
49,8453.0,8495.0,338.12,339.8,khiến bậc làm cha như ông Bá đau lòng một vụ ,"heartbroken, a "
50,8495.0,8652.0,339.8,346.08,làm cha như lòng một vụ hành hung bất ngờ diễn ra ở tiệm đèn kéo quân của Nghĩa ông Bá và nghĩa Lo lắng cờ cứu trong đó bệnh ,"sudden assault took place at Nghia's lantern shop, Mr. Ba and Nghia were worried about the while "
51,8652.0,8770.0,346.08,350.8,Nghĩa lắng cờ cứu trong khi đó bệnh tình của Hiếu có những chuyển biến xấu bà bá tiếp tục bên khinh với ,"worried about the rescue while Hieu's condition took a turn for the worse, the grandmother continued to despise "
52,8770.0,8887.0,350.8,355.48,tục bên trọng bên với hai anh em Hiếu Nghĩa mời quý vị đón hấp ,grandmother continued to respect and the two Hieu brothers. Nghia invites you interesting 
53,8887.0,9069.0,355.48,362.76,Hiếu vị đón xem những tình tiết hấp dẫn trong tập 11 phim Dâu Bể mùa xưa phát sóng lúc 930 hôm nay 31 tháng ,"you to watch the interesting details in episode 11 of the old season of Strawberry, broadcast at 930 today, October "
54,9069.0,9231.0,362.76,369.24,31 tháng 10 kênh [âm HTV7 trong phần An ninh ,October 31 HTV7 [music] in the Security and 
55,9231.0,9300.0,369.24,372.0,An ninh trật tự lên cơ tâ thần nam thanh ,and Order section on the mental health of a young 
56,9300.0,9353.0,372.0,374.12,lên cơ thần nam thanh niên dùng rựa ba người trong ,"on the health of a young man using a machete. Pursuing the three family members, "
57,9353.0,9412.0,374.12,376.48,dùng rựa truy sát người trong gia đình ,"a machete. Pursuing the murder of family members, the "
58,9412.0,9467.0,376.48,378.68,đình lực lượng chức năng ,authorities confiscated 
59,9467.0,9499.0,378.68,379.96,chức năng thu giữ gần tấn thực ,nearly tons of 
60,9499.0,9670.0,379.96,386.8,"thu giữ gần 1,5 tấn thực phẩm đông lạnh hết hàng sử dụng bốc mùi ôi thêu chương ",1.5 tons of frozen food that was out of stock and smelled rancid. The 
61,9670.0,10282.0,386.8,411.28,thêu chương trình tiếp tục với các thông tin an ninh tr tự trong lúc lên cơn tâm thần nam thanh niên ở tỉnh Bình Định dùng rựa truy sát ba người trong gia đình khiến cha và anh ruột tử vong còn mẹ bị thương rất nặng chiều 30 tháng 10 công an tỉnh Bình Định cho biết đang tạm giữ hình sự Đối tượng Hồ Thanh Cường 34 tuổi để điều tra về hành vi giết người khoảng 9:30 sáng ngày 30 tháng 10 cường bất ngờ dùng ,"The program continued with security information during a mental attack. A young man in Binh Dinh province used a machete to hunt down three family members, killing his father and older brother and seriously injuring his mother on the afternoon of October 30. Binh Dinh province police said they were holding Ho Thanh Cuong, 34 years old, in criminal custody. to investigate murder around 9:30 a.m. on October 30, Cuong suddenly used a knife "
62,10282.0,10405.0,411.28,416.2,tháng 10 bất ngờ dùng dao chém vào cha mẹ ruột V anh ruột Hậu quả người cha tử vong tại chỗ anh trai cứu ,"30, suddenly used a knife to slash his biological parents and brother. As a result, the father died on the spot and his brother emergency "
63,10405.0,10529.0,416.2,421.16,cha tử chỗ anh trai được đưa đi cấp cứu tại trung tâm y tế thị xã An nhơ nhưng Tứ dong trên đường đi còn người bị thương ,the father the spot and his brother was taken to the emergency room at the medical center. An Nho town but Tu Dong on the way and the seriously injured 
64,10529.0,10654.0,421.16,426.16,nhơ đường đi còn người mẹ bị thương rất nặng hiện đang được cấp cứu tại bệnh viện đa khoa tỉnh Bình Định theo lãnh đạo Ủy ban nhân ,"town the way and the mother was seriously injured and is currently being treated at Binh Dinh General Hospital, according to the leader of the "
65,10654.0,10804.0,426.16,432.16,tỉnh Bình Định đạo Ủy ban nhân dân thị xã An Nhân Cường là người bị tâm thần phân liệt đang điều trị bở tâm trú công ,"General Hospital, the leader of the People's Committee of An Nhan Cuong town, she is suffering from schizophrenia. Outpatient mental Tay "
66,10804.0,11055.0,432.16,442.2,phân bở tâm thần ngoại trú công an thành phố Tây Ninh cho biết đang tạm giữ hình sự ba đối tượng để điều tra về hành vi trộm cấp tài sản và tiêu thụ tài sản do người khác phạm tội có đó ,"from health treatment Tay Ninh city police said they are criminally detaining three subjects to investigate the theft of property and consumption of property committed by others, including "
67,11055.0,11119.0,442.2,444.76,tội có đó là hỳ Thanh son ,including Hi Thanh Son. 
68,11119.0,11158.0,444.76,446.32,Thanh son sinh năm Nguyễn ,Son. born in Nguyen Trung 
69,11158.0,11204.0,446.32,448.16,sinh năm 1993 và Nguyễn Trung Hậu sinh xã ,in 1993 and Nguyen Trung Hau born in commune 
70,11204.0,11262.0,448.16,450.48,và Hậu sinh năm 2001 cùng xã chà là và độ ,and born in 2001 living in date commune and The 
71,11262.0,11309.0,450.48,452.36,2001 cùng ngụ và độ Thế Kiệt sinh năm ngụ xã ,in date palm The Kiet born in living in Cau 
72,11309.0,11360.0,452.36,454.4,Kiệt sinh năm 1984 ngụ xã cầu khởi huyện Dương hôm 29 tháng ,"born in 1984 living in Cau Khoi commune, Duong on October "
73,11360.0,11420.0,454.4,456.8,khởi huyện Dương Minh Châu hôm 29 tháng 10 Công an nhận tin người dân ,"commune, Duong Minh Chau district on October 29. Police received people about "
74,11420.0,11484.0,456.8,459.36,Châu an nhận tin báo của người dân về việc vườn Mai bị trộm CT khóa ,district Police received reports from people about the Plum Garden being stolen by The CT locked 
75,11484.0,11554.0,459.36,462.16,vườn Mai bị bốn tin trộm CT khóa cổng rào đột nhập lấy một cây mai vàng ,Garden being stolen by four people. The CT locked the fence gate and broke in a large yellow 
76,11554.0,11617.0,462.16,464.68,đột nhập lấy trộm cây mai vàng lớn có giá trị 150 triệu đồng lực ,and broke in to steal large yellow apricot tree worth 150 million VND. The 
77,11617.0,11681.0,464.68,467.24,giá trị 150 triệu đồng lực lượng công an phố hợp truy bắt được son và ,worth 150 million VND. The police team cooperated to arrest Son and 
78,11681.0,11739.0,467.24,469.56,phố hợp được son và hậu các đối tượng khai nhận son và hậu khác ,cooperated to Son and Hau. The subjects confessed that Son and other 
79,11739.0,11800.0,469.56,472.0,đối tượng son và hậu cùng hai đối tượng khác đục nhập nhà anh ,subjects Son and Hau and two other subjects broke into his house to 14 
80,11800.0,11856.0,472.0,474.24,đối tượng nhà anh s trộm mai bán được 14 triệu đồng rồi xài ,"and two into his house to steal. Tomorrow, I will sell 14 million VND and then divide spend. "
81,11856.0,11905.0,474.24,476.2,mai bán triệu đồng rồi chia nhau tiêu xài Công an thành phố rõ ,I will sell VND and then divide it up to spend. Tay Ninh clarifying 
82,11905.0,12004.0,476.2,480.16,nhau tiêu an thành phố Tây Ninh Đang làm rõ vụ việc và trùy bắt các đối tượng còn ,up to Tay Ninh city police are clarifying the case and arresting the remaining suspects. On 
83,12004.0,12268.0,480.16,490.72,các đối tượng còn ngày 30 tháng 10 công an tỉnh Quảng Nam cho biết vừa phát hiện và bắt quả tang một ô tô khách 16 chỗ vận chuyển gần 5000 lậu lúc ,"remaining suspects. On October 30, Quang Nam province police said they had just discovered and caught a car red-handed. A 16-seat passenger car transported nearly 5,000 firecrackers "
84,12268.0,12387.0,490.72,495.48,gần Viên pháo lậu lúc 23 gi ngày 29 tháng 10 tại thị trấn Thành Mỹ huyện ,"nearly illegal firecrackers at 11 p.m. on October 29 in Thanh My town, Nam "
85,12387.0,12770.0,495.48,510.8,tại thị Mỹ huyện Nam Giang lực lượng chức năng cho dừng xe ô tô khách 16 chỗ đang lưu thông theo hướng contum đi Đà Nẵng qua kiểm tra phát hiện trên xe chở ba thùng xố bên trong có 96 hộp pháo tổng cộng 4704 viên tại thời điểm kiểm tra tài xế không xuất trình được ngn ,"29 in My town, Nam Giang district. The authorities stopped a 16-seat passenger car traveling in the direction of Contum to Da Nang for inspection. It was discovered that the vehicle carrying three boxes of firecrackers contained 96 boxes of fireworks with a total of 4,704 rounds. At the time of inspection, the driver could not present "
86,12770.0,12837.0,510.8,513.48,tài xế xuất trình được giấy tờ chứng minh ngn gốc số pháo trên lực lượng đã lập ,the driver could present documents proving the origin of the fireworks. made a 
87,12837.0,12905.0,513.48,516.2,minh pháo trên lực lượng chức năng đã lập biên bản bà giao vụ việc cho an huyện Nam Giang để ,the the fireworks. The authorities made a record and assigned the case. to Nam Giang district police 
88,12905.0,12970.0,516.2,518.8,giao vụ việc cho công an huyện Nam Giang để tiếp tục điều tra lý ,the case. to the Nam Giang district police to continue investigating and handling 
89,12970.0,13195.0,518.8,527.8,"điều tra lý gần 1,5 tấn thực phẩm đông lạnh hết hạng sử dụng bốc mũi ô thu vừa bị lực lượng chức năng tỉnh Bắc Cạn phát hiện và giữ ngày ","investigating and handling nearly 1.5 tons of expired frozen food used for steaming, which was discovered and detained by the authorities of Bac Kan province on October "
90,13195.0,13245.0,527.8,529.8,hiện thù giữ ngày 30 tháng 10 hàng ,on October 30 for 
91,13245.0,13312.0,529.8,532.48,tháng 10 kiểm tra một kho hàng đông lạnh trên phường sông lượng ,for inspection. At a frozen warehouse in Song Cau authorities 
92,13312.0,13366.0,532.48,534.64,kho trên phường sông Cầu lực lượng chức năng phát hiện đã hết ,"a Song Cau ward, the authorities discovered many products whose expired "
93,13366.0,13418.0,534.64,536.72,lực năng phát hiện nhiều sản phẩm đã hết thời hạn sử dụng bút ,many products whose expiry date had expired and 
94,13418.0,13558.0,536.72,542.32,"sản phẩm hạn sử dụng biến màu Ôi thêu bút mùi hôi có trọng lượng gần 1,5 tấ đó là các loại cá thịt ba sườn ","date had were discolored, weighing nearly 1.5 tons, which were all kinds of fish with pork pig's "
95,13558.0,13608.0,542.32,544.32,đó cá thịt ba chỉ rút xương sườn heo chân giò heo ,"of fish with pork belly and ribs removed. pig's feet, pig's "
96,13608.0,13665.0,544.32,546.6,rút xương chân giò heo gà nguyên con trâu chân gà nêm ,"and ribs removed. pig's feet, whole buffalo meat, chicken feet, sour "
97,13665.0,13947.0,546.6,557.88,nguyên con thịt gà nêm chua xúc xích đông lạnh tại thời điểm kiểm tra chủ kho hàng đông lạnh là ông Phạm Đức của sinh năm 1981 không xuất trình được các giấy tờ chứng minh nguồn gốc xuất xứ của các sản phẩm tổ công tác đã lập ,"whole chickens, chicken feet, sour seasoning, frozen sausages, frozen sausages. At the time of inspection, the owner of the frozen warehouse , Mr. Pham Duc, born in 1981, could not present documents proving the origin of the products. The working group's products have "
98,13947.0,14013.0,557.88,560.52,của các sản phẩm công tác đã lập biên bản và Đang phối hợp xác minh để xử lý ,the products. The group's products have been recorded and are coordinating verification to handle according 
99,14013.0,14127.0,560.52,565.08,và Đang phối minh để xử lý theo quy định của luật phần tin ,and are to handle according to the provisions of law. Attractive world 
100,14127.0,14182.0,565.08,567.28,tin thế giới vô ,world news. The V 
101,14182.0,14223.0,567.28,568.92,giới hấp dẫn vô địch thế giới ,The Chinese version V TH THI world 
102,14223.0,14273.0,568.92,570.92,dẫn Cuộc thi thế giới V th ,version of the THI world championship competition 
103,14273.0,14568.0,570.92,582.72,thi th sĩ phiên bản Trung Quốc của vợ ba lê thang nha thờ Đức Bà kết hợp nét đẹp của ba Lê Phương Đông thưa ,"the competition of ballet wife Thang Nha Nhon Notre Dame combines the beauty of Oriental Ballet, ladies "
104,14568.0,14974.0,582.72,598.96,Đông thưa quý vị ngày 30 tháng 10 một vụ sập vàng giáo đã xảy ra tại một công trường xây dựng ở thành phố ham buốc miền Bắc nước Đức làm ít nhất ba công nhân thiệt mạng và nhiều người khác bị chôn vùi với đống đổ nát theo Lực lượng cứu hỏa địa phương thời điểm ,"ladies and gentlemen. On October 30, a gold collapse occurred at a construction site in the northern German city of Hamburg, killing at least three workers and Many other people were buried with rubble according to the local Fire Department and the time "
105,14974.0,15581.0,598.96,623.24,hỏa địa phương và thời điểm xảy ra vụ tai nạn có khoảng 1300 đến 1500 công nhân đang làm việc tại công trường dàng giáo cao hơn mặt đất khoảng 8 tầng trước khi đổ sập công trường xây dựng đã được sơ tán sau vụ tai nạn Lực lượng cứu hỏa cho biết nỗ lực cứu hộ gặp nhiều khó khăn nhà chức trách ban đầu cho biết có năm người thiệt mạng nhưng sau đó họ báo cáo lại là ba người vụ tai nạn xảy ra tại khu dân cư ở quận haen ,"Fire Department and at the time of the accident there were about 1,300 to 1,500 workers working at the scaffolding site about 8 stories above the ground before it collapsed. collapsed construction site was evacuated after the accident Firefighters said rescue efforts were difficult Authorities initially said five people died but they later reported three people in the incident The accident occurred in a residential area in the Haen port "
106,15581.0,15646.0,623.24,625.84,tại khu ở quận haen City thuộc thành phố cảng hambur trên sông anh bơ ,"in a in the Haen City district of the port city of Hambur on the Anh Bo River, "
107,15646.0,15792.0,625.84,631.68,thành phố sông anh bơ nơi đang được tái phát triển với nhiều tòa nhà chung cư Văn Phòng khách sạn hàng thưa ,"of the on the Anh Bo River, which is being redeveloped with many apartment buildings, offices, shops. Ladies "
108,15792.0,16467.0,631.68,658.68,khách sạn và cửa hàng thưa quý vị cuộc xung đột giữa lực lượng hamas tầ kiểm soát giả gaza và Israel đã có dững diện biến leo than khi quân đội Israel Mở rồng chiến dịch trên bộ Tại gaza trước đó hôm 7 tháng 10 hamas đã bất ngờ Đột Kích tấn công vào các thành phố thị trấn của Israel giết chết nhiều người và bắt giữ các con tin có hai con trai bị hamas bắt cóc một bà mẹ Israel Mới đây đã làm một đoạn phim hoạt hình để kể về câu chuyện đau buồn mình Đây ,"hotels and shops. Ladies and gentlemen, the conflict between Hamas forces. Fake control of Gaza and Israel faced an escalating crisis when the Israeli army launched a ground campaign in Gaza. Previously, on October 7, Hamas launched a surprise attack on Israeli cities and towns, killing many people. many people and held hostages whose two sons were kidnapped by hamas, an Israeli mother. Recently made an animation to tell her sad story. This is "
