frame,caption
017.jpg,A woman is standing in front of a blue curtain. There are people sitting at long wooden tables in a room. There is a red sign hanging from the ceiling. 
018.jpg,A woman is sitting in a room. She is wearing a colorful shirt with flowers on it. There is a window on the wall behind her. The window is white and there is a blue curtain on the window. 
019.jpg,Four men are sitting around a table. There is a man in a white shirt standing in front of them. There are white curtains on the window behind them. 
020.jpg,A woman is standing in front of a blue curtain. She is wearing a pink shirt with a floral jacket over it. The woman has dark hair and is looking off to the side. There is a barcode on the bottom left of the image.
021.jpg,"A map of a city is shown in black and white. The map has the words ""Khu Pho"" written on it in black. There is a barcode on the bottom left corner of the image. "
022.jpg,A woman is wearing a purple shirt with flowers on it. The woman has dark hair and is crying. There are trees behind the woman. There is a microphone in front of her.
023.jpg,The image is of a store called TRU SO KHU PHO 4. The store has white doors and windows. There is a red sign on the front of the store. There are people sitting at tables outside of the building. The floor is green and there is a QR code on the bottom left corner of the image.
024.jpg,A map of Khu Pho is shown on a white background. The map is drawn in black and white. There is a barcode on the bottom left corner of the image. The barcode is a QR code that is used to scan the code for a website. The text on the image is in Vietnamese.
025.jpg,Four men are sitting around a table. There is a man in a white shirt standing in front of them. There are white curtains on the window behind them. 
026.jpg,There are three women sitting at a table. There are water bottles on the table in front of them. There is a window behind them with white curtains on it.
027.jpg,There are several people sitting at a long table. There are bottles on the table in front of them. There is a large window on the wall behind them. 
028.jpg,A man in a white shirt is holding a microphone. There is a white door behind the man. There are people standing in front of the door. 
029.jpg,A man is wearing a white shirt. He is holding a microphone in his hand. There is a white door behind the man. There are people standing in front of the door. 
030.jpg,A man and a woman are sitting in a room. The man is wearing a blue collared shirt and glasses. He is holding a piece of paper in his hand. The woman is sitting in front of him. She has long brown hair in a ponytail. There are large windows on the wall behind them. 
031.jpg,A person is sitting at a desk with a stack of books and papers in front of them. There is a blue pen on top of the books. There are several pieces of paper on the desk. 
032.jpg,There are three people sitting at a desk. There is a woman in a black and white striped shirt sitting in front of the desk. The man on the right is wearing a brown shirt and is holding a pen in his hand. 
033.jpg,A woman is wearing glasses and a camouflage shirt. There are trees behind her. There is a microphone in front of her. 
034.jpg,This is an image of a street. The street is lined with buildings. The buildings are multicolored. The building are white. There is a blue sign on the building. The sign has white letters on it. There are cars parked along the side of the road. The cars are dark colored. The road is paved with white lines. The woman walking down the street is wearing a red dress.
035.jpg,There are people standing in front of a white building. There is a white and red sign hanging from the building above the people. There are trees next to the building. 
036.jpg,There are people sitting around a table. There is a red sign hanging from the wall behind them. There are pictures on the wall in front of them. 
037.jpg,There are tall buildings next to each other. There are trees in front of the buildings. There is a tall white building with many windows on the side of it. 
038.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. There is a red sky behind the man.
039.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. There is a red sky behind the man.
040.jpg,There is a large stage with red steps leading up to it. There are people standing on the stage in front of a large screen. There is a crowd of people sitting in chairs around the stage. 
041.jpg,There is a man and a woman standing on a stage. The man is wearing a white shirt and holding a microphone. The woman is standing next to him. There is a large screen behind them. 
042.jpg,There are several people standing in a line. They are all wearing white shirts and red ties. There is a red wall behind them. There are pictures on the wall. 
043.jpg,There are four people standing in front of a large screen. There is a man in a white shirt and a red tie shaking hands with another man. A woman in a red shirt is standing next to them.
044.jpg,A blurry image is on a television screen. There is white writing on the screen that says 120 GIAN TRUNG BAY AN PHAM BAO CHI. There are red and blue squares on the top right corner of the screen.
045.jpg,A man in a black shirt and glasses is touching a white sign. There are three women standing next to the sign. They are wearing glasses. There is a white chair in front of them. 
046.jpg,There are two men standing in front of a large screen. The screen is turned on and has a picture of a man on it. The man in front is wearing a white visor. 
047.jpg,There are several people standing in front of a red wall. There is a man in a uniform standing behind them. There are two men in white shirts holding white flowers. 
048.jpg,A group of people are standing on a stage. They are all wearing white shirts and black pants. There is a large red sign behind them. There are lights hanging from the ceiling above the stage.
049.jpg,There are several people standing in front of a red wall. They are all wearing white shirts and holding framed pictures. There is a woman in a red dress standing next to them. 
050.jpg,A man and a woman are standing in front of a white table. The man is wearing a black shirt and a red tie. The woman is wearing red and white polka dot dress. There are tall buildings behind them. 
051.jpg,A man and a woman are standing in front of a white table. The man is wearing a dark blue shirt and a red tie. The woman is also wearing a red shirt with white dots on it. There are tall buildings behind them. 
052.jpg,A man and a woman are standing in front of a white desk. They are both dressed in business attire. The man is wearing a black shirt and a red tie. The woman is dressed in a red and white polka dot dress. There is a large cityscape behind them. The sky is orange and pink. 
053.jpg,There is a brown pole in the middle of the photo. There are wires hanging from the top of the pole. The sky is mostly cloudy and blue. There is a small patch of grass in the photo as well.
054.jpg,There is a large concrete bridge in the middle of a field. There are weeds and grass under the bridge. There is a small building behind the bridge with a red roof on it.
055.jpg,There is a blue sign on a pole. There is a white sign next to the blue sign. There are buildings behind the sign. 
056.jpg,A man is wearing a blue and orange polo shirt. There are motorcycles behind the man. There is a white paper hanging on the wall. 
057.jpg,A man is wearing a blue and orange collared shirt. There are motorcycles behind the man. There is a red and white sign in front of the man with a microphone attached to it.
058.jpg,A man is sitting in front of a microphone. He is wearing a white collared shirt. There is a large map hanging on the wall behind the man. The man has short black hair. 
059.jpg,A picture of a construction site. There is a large green crane in the picture. There are large buildings in the background of the photo. The sky above the crane is blue with white clouds.
060.jpg,A picture of a construction site. There is a large green crane in the picture. There are large buildings in the background of the photo.
061.jpg,A picture of a construction site. There are many metal rods laying on the ground. There is a large green crane above the metal rods. In the distance there are several tall buildings. 
062.jpg,A picture of a construction site. There is a yellow and black construction vehicle in the ground. There are people standing around the site. They are wearing white hard hats on their heads. 
063.jpg,A man is sitting in a chair in front of a white wall. He is wearing a white collared shirt. There is a large map hanging on the wall behind the man. The man has short black hair.
064.jpg,There are a lot of people riding motorcycles on the street. There is a fence in front of the street with dead grass on the ground. There are buildings next to the street behind the fence. 
065.jpg,An empty road is seen in a foreign country on 19/4/2024. There are buildings on either side of the road. Power lines are running across the roads. The sky is clear and blue.
066.jpg,There are two cement blocks with screws on top of them. There are bushes behind the blocks. There is a red sign on the bottom of the picture. 
067.jpg,There are several buildings behind a wall. There are power lines above the buildings. There is a silver pole in front of the wall. 
068.jpg,There are several motorcycles on the street. There is a green car next to the motorcycles. There are wires above the street hanging from poles. 
069.jpg,There are construction equipment on the ground. There is a white fence next to the dirt. There are trees behind the fence. 
070.jpg,A picture of a construction site. There is a large yellow crane in the middle of the picture. There are trees surrounding the crane. The sky above the crane is white. There large buildings to the right of the crane that are behind the construction area. The ground under the crane has dirt on it.
071.jpg,A man and a woman are standing in front of a white table. The man is wearing a black suit and a red tie. The woman is wearing red and white polka dot dress. There are tall buildings behind them. 
072.jpg,A man and a woman are standing in front of a large screen. They are both dressed in business attire. The man is wearing a black suit and a red tie. The woman is dressed in a red and white polka dot dress. She is holding a wallet in her hands. There is a large cityscape behind them. The sky above them is orange and pink.
073.jpg,A man and a woman are standing in front of a news desk. The man is wearing a black shirt and a red tie. The woman is also wearing a red shirt with white dots on it. There are tall buildings behind them. 
074.jpg,A man and a woman are standing in front of a news desk. The man is wearing a black shirt and a red tie. He is holding a tablet in his hands. The woman is wearing red and white polka dot dress. There is a large cityscape behind them. The sky is orange and pink. 
075.jpg,A man and a woman are standing in front of a white table. The man is wearing a black suit and a red tie. The woman is wearing red and white polka dot dress. There are tall buildings behind them. 
076.jpg,There are two men standing next to each other. One of the men is wearing a green shirt. There are trees behind them with green leaves on them. There is a man wearing a pink shirt and glasses. 
077.jpg,There are large green fruits hanging from a tree. There is a red and white sign under the fruit. There are small white letters on the sign. 
078.jpg,There are two men standing next to each other. There are trees behind them. The man on the left is wearing a plaid shirt. He has glasses on his face. 
079.jpg,An older Asian man with white hair and a mustache is seen on a TV screen. He is wearing a green collared shirt. Behind him are green bushes. The TV screen has a red border with white letters and numbers on it.
080.jpg,A man in a green jacket is walking through a field. There are large green plants all around him. There is a white sky above him. 
081.jpg,A picture of a bunch of fruit hanging from a tree. There are green leaves on the tree. The fruit are large and green. There is writing on the bottom of the picture. 
082.jpg,There are rows of green plants in a field. There are silver poles sticking out of the ground in front of the plants. There is a red and white sign on the top right of the image.
083.jpg,This is an image of a farm. The farm has lots of green plants growing in it. There is a fence in front of the plants. The fence is made up of metal poles. The poles are silver. The sky above the farm is light gray. There are white clouds in the sky. The grass in the field is green. There dirt on the ground in the middle of the field.
084.jpg,There are large green plants growing in a field. There are two white poles sticking out of the ground in front of the plants. There is dirt on the ground behind the plants in the field.
085.jpg,There are large green plants in a field. There are silver poles in front of the plants. There is writing on the bottom of the picture. 
086.jpg,There are rows of green plants growing in a field. There is a white tent above the plants. There are poles sticking out of the ground in front of them.
087.jpg,A man is wearing a brown collared shirt. He has short black hair and is looking to the left. There is a large window behind the man. There are plants in front of the window. 
088.jpg,This is an image of a farm. The farm has lots of green plants growing in it. There is a large black tarp over the plants. The tarp is made of metal poles. The plants are growing in a field. The ground is dirt and brown. The sky above the farm is gray and cloudy. There are words in the bottom left and right corners of the image.
089.jpg,There are rows of green plants in a field. There are silver poles in the middle of the plants. There is dirt on the ground in front of them.
090.jpg,This is an image of a field. The field is very green. The grass is very long. The leaves on the plants are very long and green. There is a gray pole by the field. There are white poles behind the plants. The ground in the field is light brown. The plants have long green leaves. The pole is metal and gray.
091.jpg,This is an image of a field. The field has large green plants growing in it. The plants have large leaves. The leaves are a bright green color. There is dirt on the ground in the middle of the plants. The dirt is dark brown. There are small white letters on the bottom of the image. The letters are in a foreign language.
092.jpg,This is an image of a farm. The farm has lots of green plants. The plants are growing in rows. There is a green sign in the middle of the field. The sign has a white background and black text on it. There are black poles sticking up from the ground. The poles are made of metal. The roof of the farm is white.
093.jpg,A field of green plants. There is a green sign in the middle of the field. The sign has white writing on it. 
094.jpg,There are people sitting in a field. There are large green plants in front of them. They are wearing conical hats on their heads. There is a basket on the ground next to them. 
095.jpg,There is a woman wearing a white hat. She is kneeling down in a field of green plants. There is a white tent behind her. 
096.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has black hair and glasses on. There is a red sky behind the man.
097.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. There is a red sky behind the man.
098.jpg,A woman wearing a white hat is standing in front of a store. She is wearing a red shirt and a pink scarf around her neck. The store has a large glass window on the front of it. There is a black sign behind the woman. 
099.jpg,A person is holding two long bamboo sticks. They are in a kitchen. There is a white cup on the counter in front of them. 
100.jpg,There is a white building with many flags hanging from the front of it. There is a red flag on a pole in front of the building. The sky is blue and there are trees in the background.
101.jpg,A man in a white lab coat is wearing a face mask. He is standing in front of a large screen. There are pictures on the screen. 
102.jpg,"An x-ray of a hand is displayed on a monitor. The monitor is mounted on a white wall. The hand is shown in three different angles. The x-rays are white and clear. There is a label at the bottom of the monitor that reads ""Canh sat Haiti tan cong sao huyet bang nhom toi pham khet tiengh nhat dat nuoc""."
103.jpg,An x-ray image is displayed on a monitor. A person's hand is pointing at the X-ray. The wall behind the monitor is painted white. There is a red folder on the shelf next to the monitor.
104.jpg,A man in a white lab coat is standing next to a hospital bed. He is wearing a white face mask. There is a person laying in the bed with a blue blanket on them. 
105.jpg,A man in a white coat is standing next to a bed. There is a white wall behind the man in the white coat. The man is wearing a white face mask. 
106.jpg,A man is sitting at a brown table. He is wearing a white shirt and has a white face mask on. There is a red basket on the table in front of him. 
107.jpg,A man is wearing a white lab coat and a blue face mask. He is sitting in front of a white board. There is a red chair behind him. 
108.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has black hair and glasses on. There is a red sky behind the man.
109.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. The sky behind the man is orange and yellow.
110.jpg,There are several people standing in front of a yellow sign. There are boxes stacked on top of each other. There is a man in a blue shirt standing behind them. 
111.jpg,A woman is holding a red flag in front of a yellow sign. There are people standing behind the woman. There is a white building behind the people. 
112.jpg,There are several women standing in front of a table. They are all smiling and looking at the camera. There is a small model of a castle on top of the table. 
113.jpg,There is a large white sign in front of a yellow building. There are people standing around the sign. There is a man in a white shirt and a woman in a pink shirt standing next to him.
114.jpg,There is a woman wearing a red shirt. She is holding a microphone in her hand. There is a large yellow sign behind her. There are people standing in front of the sign. 
115.jpg,There is a woman wearing a red shirt. There is a large yellow sign behind the woman. There are people standing in front of the sign. 
116.jpg,A person is holding a red flag. There is a large yellow sign behind them. There are trees on the other side of the sign. 
117.jpg,A man and a woman are standing in front of a pile of boxes. The boxes are stacked on top of each other. The man is wearing a red shirt. There is a yellow and red wall behind them. 
118.jpg,There are two men wearing white shirts and blue pants. They are holding microphones in their hands. There is a large screen behind them. There are people standing in front of them. 
119.jpg,There are people standing on a stage. There is a large screen behind them. There are two men wearing white shirts and blue pants. They are holding microphones in their hands. 
120.jpg,There is a large blue sign in the middle of a field. There are people standing in front of the sign. There is a building behind the people. 
121.jpg,A man is wearing a green shirt and a hat. He is holding something in his hands. There is a blue sign behind him. There are trees behind the man. 
122.jpg,A man is wearing a blue shirt and wearing glasses. He is holding a microphone in his hand. There is a large tree behind the man. A building can be seen behind the tree. 
123.jpg,A man in a blue shirt is wearing glasses. There is a large tree behind the man. A person is holding a microphone in front of him. 
124.jpg,A large group of people are sitting at long tables. The tables are covered with green tablecloths. There is a large red and white striped tent above the tables. A large building can be seen behind the people. 
125.jpg,There are two men standing in front of a blue screen. They are holding white signs in their hands. The man on the left is wearing a green uniform. He is also wearing glasses. 
126.jpg,A man and a woman are standing in front of a large screen. They are both dressed in business attire. The man is wearing a suit and a red tie. The woman is dressed in a red and white dress. The screen behind them has a city scene on it. There is a large white table in the front of the screen.
127.jpg,A woman is standing in a room. She is wearing a long red dress with white dots on it. There is a large screen in front of her that is turned on. 
128.jpg,There are people standing on a stage. They are wearing white robes. There are stairs leading up to the stage. There is a large white building on the stage in front of them.
129.jpg,A neon sign is lit up in the dark. There are three people standing on top of a green tunnel. There is a red flag with a yellow star on it above them. 
130.jpg,There is a stage that has people standing on it. There are lights on the stage that are green and yellow. There is a large screen on the front of the stage.
131.jpg,There is a stage with people standing on it. There are lights around the stage. There is a flag hanging from the ceiling. 
132.jpg,There is a stage with a lot of people standing on it. There are stairs leading up to the stage. There is a large screen on the stage with people standing in front of it. 
133.jpg,There are people standing on a stage. They are holding large pink and yellow balloons. There are stairs leading up to the stage. There is a woman in a red and white dress standing on the steps. 
134.jpg,There are several women dancing on a stage. They are wearing red and black outfits. They have red hats on their heads. There is a microphone in front of them.
135.jpg,There are several people standing on a stage. They are holding microphones in their hands. There is a man in a white suit standing in front of them. There are stairs behind them. 
136.jpg,There are several people standing on a stage. They are all wearing costumes and have their hands up in the air. There are stairs behind them that are white. There is a large screen behind them.
137.jpg,There are several women dancing on a stage. They are wearing gold costumes. They have their arms up in the air. There is a large screen behind them. 
138.jpg,A large crowd of people are standing in a stadium. There is a green wall behind them. There are many people in the crowd. They are all wearing face masks. 
139.jpg,There are several people standing in a line. They are wearing white and black costumes. There is a small building behind them with a thatched roof on it. There are trees behind the building. 
140.jpg,There are several people standing in a circle. They are wearing white shirts and black pants. They have black hats on their head. There are sticks sticking out of the ground in front of them.
141.jpg,There are several people standing around a red balloon. There is a woman wearing a white shirt and a black hat. There are plants behind them. 
142.jpg,There are several people standing in a crowd. They are all wearing black and white outfits. They have hats on their heads. There are several tents behind them. 
143.jpg,There are two women standing together. One of the women is wearing a black hat with red beads on it. She is also wearing a red and white dress. There are other people behind them. 
144.jpg,There are people standing in front of a building. There is a thatched roof on the building. The people are wearing hats on their heads. 
145.jpg,There are several people standing in front of a building. There is a thatched roof on the building. The people are wearing hats on their heads. 
146.jpg,There are several people standing in a circle. They are wearing black pants and white shirts. There is a man standing in front of them holding two large red drums. 
147.jpg,A woman is wearing a red dress with white dots on it. She is holding a red wallet in her hands. There is a large screen in front of the woman. 
148.jpg,A woman is standing in front of a screen. She is wearing a red dress with white dots on it. The woman is holding a brown wallet in her hands. There is a large screen behind the woman. 
149.jpg,A woman in a red dress with white dots is standing in front of a red background. She is holding a brown object in her hands. There is a large crowd of people behind her. They are all wearing green hats. 
150.jpg,A woman is standing in front of a screen. She is wearing a red dress with white dots on it. She has short brown hair and is holding a brown purse. There is a picture on the screen next to the woman.
151.jpg,There is a woman wearing a pink dress with white dots on it. She is holding a tablet in her hand. There is a picture next to the woman on the screen. 
152.jpg,There are several flags on poles in front of a building. There is a large white building next to the flags. 
153.jpg,There is a large white building on the right side of the screen. There are several flags on poles in front of the building. There is grass on the ground next to the flags. 
154.jpg,This is an aerial view of a city. There are tall buildings surrounding a large body of water. There is a green field in the middle of the buildings. 
155.jpg,There are several people standing in front of a building. There are three women and a small child in between them. They are all wearing green hats. There is a yellow scarf around their necks. 
156.jpg,There is a black and white boat on the water. There are people sitting in the boat. There is a flag on the boat that is black and has white writing on it.
157.jpg,There are several white bottles on the ground. There is a person wearing a white suit and a green hat. There are stairs behind them. 
158.jpg,The image is a billboard. The billboard is red and white. The letters on the billboard are white. There is a red circle in the center of the billboard.
159.jpg,There are people standing behind a red banner. There are two men in suits walking behind the banner. They are holding flags in their hands. There is a fence behind them. 
160.jpg,There are several men in uniform marching down the street. They are wearing green hats on their heads. There is a large building behind them. There are people standing behind a fence watching them.
161.jpg,A band is marching down the street. They are all wearing black and white uniforms. They have white feathers on their head. They all have trombones in their hands. 
162.jpg,A group of men in kilts are marching down a street. They are playing bagpipes and drums. There are people standing on the side of the street watching them. There is a fence next to the street. 
163.jpg,A group of men in kilts are marching down a street. They are playing bagpipes. There are people standing on the side of the street watching them. There is a large building behind them. 
164.jpg,There are several people marching down the street. They are wearing black and yellow uniforms. They have black hats on their head. There are tall buildings behind them. 
165.jpg,There are several men in yellow and black uniforms marching down the street. They are carrying large drums. There is a large white building behind them. 
166.jpg,There are several people standing in a line. They are all wearing white hats. There is a woman in a black jacket holding an american flag. 
167.jpg,There are several people walking on the street. There is a woman in a green wig on her head. There are other people behind her walking. 
168.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. There is a red sky behind the man.
169.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has black hair and glasses on. There is a red sky behind the man.
170.jpg,There are two small yellow birds on top of a pile of noodles. The birds have black eyes and orange beaks. They have red feet. 
171.jpg,There is a white cake on a tray. There are pink flowers on the top of the cake. There is writing on the cake in pink frosting. The cake is sitting on a table. 
172.jpg,A window display of a bakery. There are several cakes on display in front of the window. There is a person standing behind the glass. 
173.jpg,A window display in a store called Primrose Bakery. There are several cakes on display in the window. There is a woman standing behind the counter. She is wearing a black shirt. 
174.jpg,"A window display of cakes is seen in the window of a store called Primrose Bakery. The cakes are on display on cake stands and are of various shapes and sizes. There are pink, yellow, blue, white, and light pink cakes on the display. There is a reflection of the store in the glass of the window."
175.jpg,A woman is standing in front of a counter that has cakes on it. She is wearing a black jacket and has short black hair. There is a neon sign above the counter that says PRIMROSE BAKERY.
176.jpg,A woman is standing in front of a counter that has cakes on it. The woman is wearing a black jacket and has short black hair. There is a neon sign above the counter that says PRIM ROSE BAKERY.
177.jpg,There are two trays on a white counter. There are rolls on top of the trays. There is a silver pot on the counter next to the rolls. 
178.jpg,There are two trays on a white counter. The trays are black. There are rolls on top of the trays. They are covered in a brown glaze. 
179.jpg,A man is standing in a kitchen. He is wearing a white shirt and has a microphone clipped to his shirt. There are shelves behind him with bags on them. There is a tray of bread on the counter in front of him. 
180.jpg,A man is standing in a bakery. He is wearing a white shirt with a cross on the front of it. There are shelves behind him with bags on them. There is a tray of bread on the counter in front of him. 
181.jpg,There are several shelves in a room. There is a white table in front of them with a basket on top of it. There are breads on the shelves. 
182.jpg,A store front with a large window on it. There is a picture of a cupcake on the window. There are yellow doors on the building. 
183.jpg,There are yellow flowers on the plants. There are purple flowers under the yellow flowers. There is a white sky behind the flowers. 
184.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. There is a red sky behind the man.
185.jpg,A man is standing in front of a city skyline. He is wearing a black shirt and a red tie. He has glasses on and has short black hair. There is a red sky behind the man.
186.jpg,This is an aerial view of a town. There is a large white building with a black roof on it. There are several smaller buildings surrounding the white building. 
187.jpg,A man is looking down at a cell phone. He is holding the phone in his right hand. The phone is black in color. The man has dark skin and dark eyes. The background is blurry. There is a red banner in front of the man with white writing on it.
188.jpg,A man is standing outside of a building. He is wearing a long white shirt and black pants. The man is holding a stick in his hand. There are large pillars in front of the building. 
189.jpg,A black man is looking up at the sky. He is wearing a white collared shirt. There is a brick wall behind the man. 
190.jpg,A black man is looking at the camera. He is wearing a white collared shirt. The wall behind the man is made of bricks. There is a red banner in front of the man.
191.jpg,There are several people standing on the sidewalk. There are several vehicles on the street behind them. There is a man in a black suit standing in front of them. 
192.jpg,A man is standing on the street looking at his phone. He is wearing a blue shirt. There is a yellow truck behind him. There are buildings on the side of the street. 
193.jpg,There is a man wearing a white shirt and black suspenders. He is standing next to a woman wearing a yellow dress. There is a brown door behind them. 
194.jpg,A woman is wearing pink and green glasses. The woman has long brown hair. There is a white wall behind the woman. 
195.jpg,A person is typing on a laptop. The laptop is pink. The person is wearing a watch on their wrist. The watch is gold and silver. There is a window behind the person. 
196.jpg,A white banner with a red stripe on it. There is a logo on the banner that says viamo. There are people standing in front of the banner. 
197.jpg,There are several people standing on the street. There are several yellow cars behind them. There is a man in a black shirt holding a white bag.
198.jpg,There are three people standing in front of a tree. There is a man in a white shirt holding a white phone. The man in the white shirt has a black strap over his shoulder. 
199.jpg,A woman is standing in front of a screen. She is wearing a red dress with white dots on it. The woman is holding a brown wallet in her hands. There is a large white screen behind the woman. 
200.jpg,There is a woman wearing a red dress with white dots on it. She is holding a brown object in her hands. There is a large crowd of people standing in front of a white building behind her. 
201.jpg,There is a woman wearing a red dress with white dots on it. She is holding a brown object in her hands. There is a picture next to the woman on the screen. 
202.jpg,A man is standing outside on a sunny day. He is wearing a black hat and a red robe. People can be seen walking around him on the sidewalk. There are tall trees and buildings in the background. The sky is white above the people.
203.jpg,There is a man wearing a black hat and a red jacket. There are people standing around him on the street. There is a red building behind him. 
204.jpg,There are people standing on a stage. They are dressed in costumes. There are black speakers in front of them. There is a string of lights hanging above them. 
205.jpg,"A man is performing a dance on a stage. He is wearing a white shirt, black pants and a black hat. His arms are stretched out to the sides and his head is tilted back. Two other people are standing behind him watching him. They are dressed in formal attire. There are large speakers on stands on the sides of the stage. There is hay bales on the stage behind the people."
206.jpg,A woman with blonde hair is wearing a pink jacket. There is a large white building behind her. There are people standing in front of the building. 
207.jpg,There are two people standing on stilts. They are wearing long dresses. There is a fence behind them. There are large trees behind the fence. 
208.jpg,A man is standing on a street. He is wearing a camouflage jacket and a green hat. There are people walking on the street behind him. There is a white crosswalk in front of the man. 
209.jpg,A picture of a person wearing camouflage pants. There is a black sandal on the person's feet. The sandal has a green substance in it. The person is holding a silver stick. 
210.jpg,A man in camouflage is pushing a stroller with a little boy in it. There are people standing around them. There is a red jacket on a person in a white hat. 
211.jpg,A man is standing on a street. He is wearing a camouflage jacket and a black hat. There are people walking on the street behind him. There is a white crosswalk under the man. 
212.jpg,There are several people standing in a line. They are all wearing jackets and hats. There is a building behind them with lights on the top of it. 
213.jpg,There are several people standing around. There is a girl sitting on top of a pile of hay. There are trees behind the people. 
214.jpg,Five children are standing on a stage in front of microphones. They are dressed in traditional Chinese clothing. Behind them are large yellow and orange decorations. The children are smiling and looking towards the camera.
215.jpg,Five children are standing on a stage in front of microphones. They are dressed in colorful costumes. Behind them there is a large yellow and orange decoration. The children are smiling and looking towards the camera.
216.jpg,A black screen with a red and black image on it. There are small white dots all over the image. There is a red line on the left side of the screen. 
217.jpg,The image is a logo. The logo is red and white. The background is white. There are dots on the white background. The dots are red in color. The text is in a foreign language. The letters are red. There is a big red circle in the middle of the logo.
218.jpg,A man is walking across the street. He is wearing a blue vest and a white helmet. There are cars parked on the side of the street next to the man. There is a large white building on the corner of the road. 
219.jpg,This is a security camera footage. There is a large building on the corner of the street. There are several cars parked on the street in front of the building. A person is standing on the side of the road wearing a white helmet. 
220.jpg,A man in a brown shirt and pants is walking down the street. There is a motorcycle laying on the ground in front of the man. There are orange cones on the street next to the motorcycle. 
221.jpg,There are several people standing around a white van. There is a man in green pants standing in front of the van. 
222.jpg,A red circle with small white dots on it. There is a black stripe in front of the red circle. 
223.jpg,A woman is wearing a red dress with white dots on it. She is holding a brown wallet in her hands. There is a picture on the wall behind the woman. 
224.jpg,A woman is standing in front of a red background. She is wearing a red dress with white dots on it. She has short dark hair and is holding a brown wallet in her hands. There is a large picture on the right of the woman.
225.jpg,A woman is wearing a red dress with white dots on it. She is holding a brown wallet in her hands. There is a large screen behind the woman. 
226.jpg,There are two men walking down a street. There is a white car parked on the street in front of them. There are buildings behind the car on the other side of the street. 
227.jpg,Two men are sitting at a desk talking to each other. The man on the right is wearing a green shirt. There is a computer on the desk in front of them. There are two windows on the wall behind the men. 
228.jpg,A man is sitting in front of a white desk. There is a large blue water bottle on the desk. The man has black hair and a black shirt. 
229.jpg,A man is sitting in a chair. He is wearing a green military uniform with red and gold decorations on his shoulders. The man has short black hair. There is a white wall behind the man.
230.jpg,The image is taken at night. The sky is completely black. There is a tall building in the middle of the image. The building has a lot of lights on the top of it. A street light is on the right side of the building. A yellow car can be seen on the bottom right of the photo. There are words written in the bottom left and in the top right of this photo.
231.jpg,There is a woman wearing a yellow shirt. There is a man standing in front of her wearing a gray shirt. They are looking at a television that is turned on. 
